iteration,spent_time
1,0.53636598587
6,1.59334993362
2,2.94047212601
3,4.05330896378
4,4.74971199036
5,5.98932099342
14,6.82149219513
13,8.07786798477
16,9.12753200531
12,10.235175848
8,10.3321940899
7,10.403493166
30,10.3007340431
34,10.3269689083
18,10.5846288204
21,10.6409161091
10,10.7445211411
15,10.8100271225
17,10.855481863
9,10.9233798981
25,11.0958490372
11,11.2393760681
27,11.1876130104
40,11.0680439472
20,11.4500279427
19,11.450740099
31,11.3878200054
29,11.4685268402
26,11.5777928829
22,11.7288019657
48,11.5108909607
36,11.5952420235
37,11.6937949657
24,12.070912838
38,11.9348320961
28,12.1613681316
42,12.081163168
23,12.4061410427
32,12.3299438953
45,12.2991461754
46,12.4039821625
33,12.69089818
47,12.6851558685
51,12.6964538097
49,12.8409340382
44,12.9201290607
50,12.9167730808
35,13.0984420776
41,13.1367089748
59,13.0204570293
39,13.2830529213
56,13.1821630001
68,13.034706831
84,12.6194629669
55,13.3661460876
77,13.0467760563
67,13.3978550434
60,13.6144340038
43,13.9047701359
53,13.8745620251
89,13.1610169411
80,13.3958268166
65,13.8990681171
63,14.0417358875
87,13.5333259106
52,14.5082170963
64,14.3871688843
83,13.9313290119
81,14.0368638039
78,14.2021148205
58,14.7977712154
66,14.7856090069
75,14.6665241718
76,14.7148318291
93,14.3617100716
72,14.9433529377
69,15.0633108616
57,15.370087862
73,15.1591629982
82,14.9406311512
79,15.0773830414
70,15.4310250282
101,14.8561069965
85,15.1403110027
100,15.0149109364
71,15.6959619522
74,15.7523539066
90,15.3949129581
86,15.550508976
99,15.4255239964
102,15.4051561356
62,16.5302181244
96,15.7684080601
97,15.8328471184
88,16.0994479656
92,16.0852880478
61,16.9136719704
91,16.2629480362
54,17.2198519707
95,16.3544089794
98,16.332406044
94,16.4482529163
103,15.812073946
104,15.6956369877
105,15.6615610123
106,15.7611021996
107,15.6677129269
108,15.7259759903
109,15.6904690266
110,15.661536932
111,15.6569349766
112,15.655146122
113,15.6284270287
114,15.6109349728
115,15.6019349098
116,15.5898180008
117,15.6276109219
118,15.609085083
119,15.6110389233
120,15.6263129711
121,15.495002985
122,15.4942018986
123,15.4987409115
124,15.4894189835
126,15.5110762119
125,15.5111610889
127,15.5008659363
128,15.4812400341
129,15.4953379631
132,15.3930408955
131,15.5396959782
130,15.6402909756
133,15.4838550091
134,15.4549398422
136,15.414429903
138,15.3604049683
137,16.0576479435
135,17.1784718037
139,16.9830751419
140,16.9717359543
141,17.0114839077
143,16.7811319828
144,16.772124052
142,17.0093491077
145,16.8317630291
148,16.6943099499
147,16.8537390232
146,16.9674561024
149,16.8100039959
150,16.7876110077
151,16.7939038277
152,16.7822079659
153,16.8182580471
154,16.8260881901
155,16.8273510933
156,16.8138179779
157,16.7946629524
158,16.7772109509
159,16.7523229122
160,16.7523329258
161,16.7632110119
162,16.8779850006
163,16.9572107792
164,16.948084116
165,16.9801130295
166,16.8875629902
167,16.8401830196
168,16.8262760639
170,16.7457129955
169,16.8812189102
172,16.6641850471
171,16.839662075
173,16.7141451836
174,16.711206913
175,16.6808900833
176,16.66375494
178,16.6050989628
177,16.7499489784
179,16.7157170773
180,16.6880640984
181,16.7030899525
182,16.6952650547
183,16.6835360527
184,16.6967189312
185,16.6929941177
186,16.7145550251
187,16.6892080307
188,16.6642589569
189,16.6343400478
190,16.6972360611
191,16.6139230728
192,16.5637381077
193,16.5974979401
194,16.6473431587
196,16.6733231544
195,16.8268399239
197,16.7592070103
200,16.5326161385
198,16.7641749382
199,16.7261087894
201,16.7233040333
202,16.7406849861
203,16.65853405
204,16.6927719116
205,16.6120669842
206,16.4592008591
207,16.4118869305
208,16.2768819332
209,16.1941590309
210,16.1686689854
211,16.2181680202
213,16.1549620628
212,16.2631130219
214,16.2273719311
215,16.2425909042
216,16.2474889755
217,16.210198164
218,16.2235717773
219,16.260076046
220,16.2986009121
221,16.3214969635
222,16.334624052
223,16.3806319237
224,16.42487216
225,16.353771925
226,16.4336881638
227,16.4461669922
228,16.4623639584
229,16.4508399963
230,16.4006109238
231,16.3802249432
232,16.3839957714
233,16.3797521591
234,16.5582721233
236,16.4733610153
235,16.6357750893
237,15.9667649269
238,15.0611569881
239,15.0406830311
240,15.033190012
243,14.924382925
241,15.1556429863
242,15.1546561718
244,15.1005289555
245,15.0806210041
246,15.0676391125
247,15.0675079823
248,15.0659039021
249,15.0808169842
250,15.0861520767
251,15.0791928768
252,15.0722031593
253,15.0536179543
254,15.0804469585
255,15.172950983
256,15.116517067
257,15.0915141106
258,15.1084680557
259,15.0960309505
260,15.0670018196
261,15.0450029373
262,14.9180948734
263,14.8384609222
264,14.8389179707
265,14.8146028519
266,14.7910501957
267,14.8039271832
268,14.8085899353
269,14.8065271378
270,14.8120119572
